year,country,gdp,population,co2,internet,unemployment,lat,lon
2000,Tunisia,47101372295.680305,12000000.0,2.2704459876065926,13.960437542296118,18.767227616899227,34.0,9.0
2000,Tunisia,46754113065.49103,12000000.0,5.111989043177443,37.63152142619066,18.44867175473534,34.0,9.0
2000,Tunisia,48322778545.415855,12000000.0,1.6517596368672631,21.28668936449074,10.35877240147109,34.0,9.0
2000,Tunisia,47945380510.246635,12000000.0,5.194497313354388,19.80064739533408,16.438428188016303,34.0,9.0
2000,Tunisia,49123790278.74331,12000000.0,4.85320448068261,5.2768037883754815,16.546379366662944,34.0,9.0
2000,Tunisia,48377164690.19002,12000000.0,2.9234889033730247,35.20576209470753,6.761060536673402,34.0,9.0
2000,Tunisia,49184733038.214485,12000000.0,5.25578977253433,33.15700587097483,15.463388930589199,34.0,9.0
2000,Tunisia,47623058508.88479,12000000.0,5.047586423317525,21.08546425055254,17.37488853516687,34.0,9.0
2000,Tunisia,47169782560.052795,12000000.0,1.8033736153552957,8.223904524966976,16.104386090803274,34.0,9.0
2000,Tunisia,47562840237.78663,12000000.0,5.518600591765042,38.16587937213818,17.651221649207272,34.0,9.0
2000,Tunisia,46672311329.22547,12000000.0,4.299229219675534,36.83531341361082,12.873538860764363,34.0,9.0
2000,Tunisia,47302114742.71806,12000000.0,5.678460994523673,33.30654684717481,16.301141697919128,34.0,9.0
2001,Tunisia,49071797792.557976,12179999.999999998,3.2028122525041876,33.92110398529868,11.787912618605858,34.0,9.0
2001,Tunisia,49971679126.42664,12179999.999999998,5.566938352055976,39.566076118911944,11.29573895402606,34.0,9.0
2001,Tunisia,48256693492.40005,12179999.999999998,4.500301598864594,32.53015882814865,15.709718600619766,34.0,9.0
2001,Tunisia,50681075909.58578,12179999.999999998,5.416522476030863,19.546309980517613,18.125094423777085,34.0,9.0
2001,Tunisia,50394173265.69823,12179999.999999998,4.105985930992372,40.174901161404804,12.70629123525455,34.0,9.0
2001,Tunisia,48240890950.366234,12179999.999999998,5.217547130970376,21.698890087787337,12.256413682784682,34.0,9.0
2001,Tunisia,50083213313.31268,12179999.999999998,3.9802658891574354,41.729286119868874,10.268746846919782,34.0,9.0
2001,Tunisia,48449401664.00623,12179999.999999998,3.0908919412145948,8.73587790301238,19.469322151875577,34.0,9.0
2001,Tunisia,48455592286.958534,12179999.999999998,2.970690981003314,26.035666900114233,10.15337083958185,34.0,9.0
2001,Tunisia,50155427423.05393,12179999.999999998,4.97214387340519,23.301402994857515,17.486454267929787,34.0,9.0
2001,Tunisia,48281877244.81775,12179999.999999998,5.893128549517719,9.325556424526532,11.39905455956258,34.0,9.0
2001,Tunisia,50222269086.404205,12179999.999999998,3.5647113888275186,21.543164146792222,15.242601034214966,34.0,9.0
2002,Tunisia,52237873587.488655,12360000.0,1.5603071907530544,15.740226044659392,11.046614922002355,34.0,9.0
2002,Tunisia,50911946146.24328,12360000.0,1.57714320096844,18.67885152736138,16.259698453053474,34.0,9.0
2002,Tunisia,52662492739.93964,12360000.0,4.3317230826354916,42.01027812093811,13.91676563562698,34.0,9.0
2002,Tunisia,50993616866.36107,12360000.0,4.0680195589133294,39.5159366497978,13.634964717245602,34.0,9.0
2002,Tunisia,52309410874.38495,12360000.0,5.798713543482126,43.79095096089351,6.826719248810936,34.0,9.0
2002,Tunisia,50632217317.87172,12360000.0,1.6399507640788533,34.35315180619382,18.271183825722744,34.0,9.0
2002,Tunisia,50401156814.23211,12360000.0,2.1162447871299768,22.487625269099713,18.308209502209372,34.0,9.0
2002,Tunisia,52854599818.70596,12360000.0,5.657762750841414,13.862605680814193,19.68126820146371,34.0,9.0
2002,Tunisia,51256447100.43573,12360000.0,1.7054018477740025,13.64420364508565,8.152212032559321,34.0,9.0
2002,Tunisia,51662856069.75644,12360000.0,4.607820760502206,32.75205993138531,16.304603363754055,34.0,9.0
2002,Tunisia,52433391156.48695,12360000.0,1.846297344830724,34.952055321153615,6.880810785860962,34.0,9.0
2002,Tunisia,50727476314.39802,12360000.0,4.727449010162116,42.13418099929559,6.053350540561885,34.0,9.0
2003,Tunisia,54316498872.088844,12540000.0,3.4612425793880597,32.197636010292705,9.222027925165847,34.0,9.0
2003,Tunisia,53512218847.539276,12540000.0,2.9464440527666027,26.788696655918393,9.625545615371244,34.0,9.0
2003,Tunisia,51770205049.794044,12540000.0,3.8932604820893437,39.50286434781477,16.332341499503503,34.0,9.0
2003,Tunisia,52653313624.56473,12540000.0,4.790994390142016,25.58181500334431,11.75411748129955,34.0,9.0
2003,Tunisia,52122495082.181564,12540000.0,3.2039833641007123,19.446614596577568,16.15687028722634,34.0,9.0
2003,Tunisia,53904956831.99708,12540000.0,2.4049435694423553,39.33512440852625,19.52321558881527,34.0,9.0
2003,Tunisia,53864470996.750626,12540000.0,2.510165412441786,17.512409309962752,7.894654611270837,34.0,9.0
2003,Tunisia,53845598889.250725,12540000.0,5.754433270801019,24.466325412446473,7.1638510953189325,34.0,9.0
2003,Tunisia,51934361329.63625,12540000.0,4.898757853428817,31.27480981602192,11.641401583169202,34.0,9.0
2003,Tunisia,52570425827.43035,12540000.0,2.5216227447938384,42.60537132795653,19.472277993737624,34.0,9.0
2003,Tunisia,52293172585.338684,12540000.0,1.8976851415139389,28.240295904211745,8.593116584457878,34.0,9.0
2003,Tunisia,52266452653.02046,12540000.0,3.2583683565897728,18.830613382796756,9.909932727372883,34.0,9.0
2004,Tunisia,53501654305.389404,12720000.0,3.803033950204218,45.826709475726034,6.582050132573578,34.0,9.0
2004,Tunisia,53127176571.122604,12720000.0,3.2839081944964743,15.681572381539276,10.062569054459466,34.0,9.0
2004,Tunisia,54871309901.149536,12720000.0,4.7162248251355425,14.032951966317706,16.80530987399357,34.0,9.0
2004,Tunisia,54886757272.57158,12720000.0,3.5767639719390343,43.65018710690596,11.6758516994541,34.0,9.0
2004,Tunisia,55722083477.54609,12720000.0,5.872078146701136,24.667885838455422,6.375785212402215,34.0,9.0
2004,Tunisia,55713595374.82773,12720000.0,3.5546552106904725,23.814550669988,15.684025499238356,34.0,9.0
2004,Tunisia,54869938325.71123,12720000.0,4.978068586510899,34.28857670256038,10.1182647794205,34.0,9.0
2004,Tunisia,54013696319.70224,12720000.0,2.632467973872526,34.75836823226198,6.029783405542413,34.0,9.0
2004,Tunisia,54889167375.26292,12720000.0,5.928151115241935,46.38012963968244,19.70689736436145,34.0,9.0
2004,Tunisia,55611111852.743416,12720000.0,1.8348675864603363,22.991800263205604,10.68365910425392,34.0,9.0
2004,Tunisia,53915847512.847626,12720000.0,5.468769623042917,16.780807175524725,8.531745232705081,34.0,9.0
2004,Tunisia,53194115956.26571,12720000.0,1.6056810500106977,33.3514461636983,15.644731293516843,34.0,9.0
2005,Tunisia,57751055066.316055,12900000.0,4.404189949826215,29.507347937650117,14.376349613945107,34.0,9.0
2005,Tunisia,56053507436.918655,12900000.0,4.269564389132697,26.38817930258666,14.214950103063336,34.0,9.0
2005,Tunisia,55893880769.45616,12900000.0,3.793273842311138,22.86736487088961,11.323427410944033,34.0,9.0
2005,Tunisia,57576486873.45553,12900000.0,5.918305131865113,24.208475238840357,6.292763458745822,34.0,9.0
2005,Tunisia,57595802991.69436,12900000.0,1.575616702469934,15.966246278345448,19.825218255737845,34.0,9.0
2005,Tunisia,56740547105.63567,12900000.0,5.159371960424487,35.79664546937904,14.97980305386863,34.0,9.0
2005,Tunisia,55092306568.84227,12900000.0,4.692232507201116,28.09295088821791,9.455111969984237,34.0,9.0
2005,Tunisia,57047234032.41192,12900000.0,3.7326173535810985,47.39489440579892,11.261440708885077,34.0,9.0
2005,Tunisia,55690562586.983444,12900000.0,3.845827965518172,49.712179523587444,7.692738360683812,34.0,9.0
2005,Tunisia,55210380418.711296,12900000.0,1.5232143959073818,18.054853177984718,19.736019542692766,34.0,9.0
2005,Tunisia,57973221932.160255,12900000.0,2.706781971699857,48.14735731519415,15.058269422333051,34.0,9.0
2005,Tunisia,54881908271.154434,12900000.0,1.6139020616772592,37.781769245057305,19.11654259748375,34.0,9.0
2006,Tunisia,59250176701.11045,13080000.000000002,3.060711624193342,42.711122164901,11.885613580668895,34.0,9.0
2006,Tunisia,56383641569.653305,13080000.000000002,3.722762177989311,45.450866305079046,17.278921890788236,34.0,9.0
2006,Tunisia,57521533309.84385,13080000.000000002,2.299188931803445,42.36517270222344,7.750017887683247,34.0,9.0
2006,Tunisia,57918643221.43417,13080000.000000002,1.539467922819822,22.570815999954277,17.725129359458624,34.0,9.0
2006,Tunisia,57151195417.04142,13080000.000000002,3.09826159561206,41.640524198065265,15.90980035131957,34.0,9.0
2006,Tunisia,59611093751.61436,13080000.000000002,1.5726189836284044,33.59883611302894,15.01634204687955,34.0,9.0
2006,Tunisia,58792758325.224625,13080000.000000002,1.588157872696656,33.832485230352304,6.523895219773801,34.0,9.0
2006,Tunisia,57732272241.154655,13080000.000000002,2.4392806693171805,22.29334054830622,14.39403455402705,34.0,9.0
2006,Tunisia,58217420760.679214,13080000.000000002,3.4211867175297894,45.02172637663803,10.864610070953692,34.0,9.0
2006,Tunisia,57948896136.18744,13080000.000000002,3.6343141194532333,23.639141133144072,11.26432698225269,34.0,9.0
2006,Tunisia,58056546997.487816,13080000.000000002,5.501442254637086,29.360747443258475,19.32853621867511,34.0,9.0
2006,Tunisia,56715891079.2893,13080000.000000002,1.9536787088875105,33.338987113169125,17.179496621783983,34.0,9.0
